Success,"2012-06-15 03:15:30",2027,doe,,Verified,"DOE-00305 / NULL"
Success,"2012-06-15 03:15:30",2028,doe,,Verified,"DOE-00306 / NULL"
Success,"2012-06-15 03:15:31",2029,doe,,Verified,"DOE-00307 / NULL"
Success,"2012-06-15 03:15:31",2030,doe,,Verified,"DOE-00308 / NULL"
Success,"2012-06-15 03:15:31",2031,doe,,Verified,"DOE-00309 / NULL"
Success,"2012-06-15 03:15:32",2032,doe,,Verified,"DOE-00310 / NULL"
Success,"2012-06-15 03:15:32",2033,doe,,Verified,"DOE-00311 / NULL"
Success,"2012-06-15 03:15:33",2034,doe,,Verified,"DOE-00312 / NULL"
Success,"2012-06-15 03:15:33",2035,doe,,Verified,"DOE-00313 / NULL"
Success,"2012-06-15 03:15:33",2036,doe,,Verified,"DOE-00314 / NULL"
Success,"2012-06-15 03:15:34",2037,doe,,Verified,"DOE-00315 / NULL"
Success,"2012-06-15 03:15:34",2038,doe,,Verified,"DOE-0027164 / NULL"
Success,"2012-06-15 03:15:35",2039,doe,,Verified,"DOE-00316 / NULL"
Success,"2012-06-15 03:15:35",2040,doe,,Verified,"DOE-00317 / NULL"
Success,"2012-06-15 03:15:36",2041,doe,,Verified,"DOE-00318 / NULL"
Success,"2012-06-15 03:15:36",2042,doe,,Verified,"DOE-00319 / NULL"
Success,"2012-06-15 03:15:36",2043,doe,,Verified,"DOE-00320 / NULL"
Success,"2012-06-15 03:15:37",2044,doe,,Verified,"DOE-00321 / NULL"
Success,"2012-06-15 03:15:37",2045,doe,,Verified,"DOE-00322 / NULL"
Success,"2012-06-15 03:15:38",2046,doe,,Verified,"DOE-00323 / NULL"
Success,"2012-06-15 03:15:38",2047,doe,,Verified,"DOE-00333 / NULL"
Success,"2012-06-15 03:15:38",2048,doe,,Verified,"DOE-0020378 / NULL"
Success,"2012-06-15 03:15:39",2049,doe,,Verified,"DOE-00324 / NULL"
Success,"2012-06-15 03:15:39",2050,doe,,Verified,"DOE-00325 / NULL"
Success,"2012-06-15 03:15:39",2051,doe,,Verified,"DOE-00326 / NULL"
Success,"2012-06-15 03:15:40",2052,doe,,Verified,"DOE-00327 / NULL"
Success,"2012-06-15 03:15:40",2053,doe,,Verified,"DOE-00328 / NULL"
Success,"2012-06-15 03:15:41",2054,doe,,Verified,"DOE-00329 / NULL"
Success,"2012-06-15 03:15:41",2055,doe,,Verified,"DOE-00330 / NULL"
Success,"2012-06-15 03:15:41",2056,doe,,Verified,"DOE-00331 / NULL"
Success,"2012-06-15 03:15:42",2057,doe,,Verified,"DOE-00332 / NULL"
Success,"2012-06-15 03:15:42",2058,doe,,Verified,"DOE-00334 / NULL"
Success,"2012-06-15 03:15:43",2059,doe,,Verified,"DOE-0017789 / NULL"
Success,"2012-06-15 03:15:43",2060,doe,,Verified,"DOE-00335 / NULL"
Success,"2012-06-15 03:15:43",2061,doe,,Verified,"DOE-00336 / NULL"
Success,"2012-06-15 03:15:44",2062,doe,,Verified,"DOE-00337 / NULL"
Success,"2012-06-15 03:15:44",2063,doe,,Verified,"DOE-00338 / NULL"
Success,"2012-06-15 03:15:45",2064,doe,,Verified,"DOE-00339 / NULL"
Success,"2012-06-15 03:15:45",2065,doe,,Verified,"DOE-00340 / NULL"
Success,"2012-06-15 03:15:45",2066,doe,,Verified,"DOE-00341 / NULL"
Success,"2012-06-15 03:15:46",2067,doe,,Verified,"DOE-02614 / NULL"
Success,"2012-06-15 03:15:46",2068,doe,,Verified,"DOE-00342 / NULL"
Success,"2012-06-15 03:15:47",2069,doe,,Verified,"DOE-00343 / NULL"
Success,"2012-06-15 03:15:47",2070,doe,,Verified,"DOE-00344 / NULL"
Success,"2012-06-15 03:15:47",2071,doe,,Verified,"DOE-00345 / NULL"
