Old Order Id,What is wrong,Magento Sku/eCodes_ID,gp_sku/product_sk,
 1037947-80926388,gpsku empty,IC-P-2009-000001,8700S09,
 1037948-99285225,gpsku empty,IC-P-2009-000002,8710S09,
 1001296-5790281,gpsku empty,IC-P-2003-000004,8720S03,
 1001300-49175720,gpsku empty,IC-P-1996-000001,8730S96,
 1004679-11880386,gpsku empty,NC-P-2002-000011,8710SNC02,
 1017581-67637116,gpsku empty,IC-P-2009-000001,8700S09,
 1017578-25949613,gpsku empty,IC-P-2009-000019,8705S09,
 1025896-21588614,gpsku empty,IC-P-2009-000019,8705S09,
 1025914-22646174,gpsku empty,CA-P-2010-000007,8700SCA10,
 1038007-55929597,gpsku empty,IC-P-2009-000001,8700S09,
 1038019-97097425,gpsku empty,IC-P-2012-000019,8705S12,
 1038003-97097425,gpsku empty,IC-P-2009-000016,8706S09,
 1037962-89962871,gpsku empty,IC-P-2009-000019,8705S09,
 1037992-29422140,gpsku empty,IC-P-2009-000001,8700S09,
1000076,gpsku empty,IC-P-2003-000006,8755S03,
1000077,gpsku empty,IC-P-2000-000003,8740S00,
1000075,gpsku empty,IC-P-2003-000004,8720S03,
 1001314-48011907,gpsku empty,IC-P-2000-000012,8798S00,
 1004696-42083237,gpsku empty,IC-P-2006-000004,8720S06,
 1004693-41919914,gpsku empty,IC-P-2003-000015,8722S98,
 1017596-46480388,gpsku empty,IC-P-2009-000019,8705S09,
 1017597-36330130,gpsku empty,IC-P-2009-000019,8705S09,
 1017604-42625285,gpsku empty,IC-P-2009-000019,8705S09,
 1017598-84727074,gpsku empty,IC-P-2009-000004,8720S09,
 1025945-10153152,gpsku empty,CA-P-2010-000005,8740SCA10,
 1025959-11797277,gpsku empty,CA-P-2010-000007,8700SCA10,
 1038031-55935479,gpsku empty,CC-P-2009-000001,870P09,
 1038045-41804731,gpsku empty,IC-P-2006-000016,8706S06,
 1038059-87106261,gpsku empty,IC-P-1996-000002,8700S96,
1000078,gpsku empty,IC-P-2003-000004,8720S03,
1000079,gpsku empty,IC-P-2003-000001,8700S03,
 1004702-84682226,gpsku empty,MI-P-2003-000011,8700SMI03,
 1017613-33319524,gpsku empty,IC-P-2009-000019,8705S09,
 1025969-87699058,gpsku empty,IC-P-2009-000019,8705S09,
 1038131-62042110,gpsku empty,IC-P-2009-000002,8710S09,
 1038104-64671270,gpsku empty,IC-P-2006-000002,8710S06,
 1004705-48408012,gpsku empty,IC-P-2003-000016,8722S03,
 1017654-35637523,gpsku empty,IC-P-2006-000002,8710S06,
 1017633-31699880,gpsku empty,IC-P-2009-000001,8700S09,
 1017660-81667069,gpsku empty,IC-P-2009-000001,8700S09,
 1017650-92255701,gpsku empty,IC-P-2006-000019,8705S06,
 1026033-51998415,gpsku empty,CC-P-2009-000005,872S09,
 1026035-76287342,gpsku empty,CC-P-2006-000001,870S06,
 1038152-71483016,gpsku empty,IC-P-2009-000016,8706S09,
1000080,gpsku empty,SS-P-1999-000001,8744S99,
 1004720-82127974,gpsku empty,IC-P-2006-000002,8710S06,
 1004721-82127974,gpsku empty,IC-P-2006-000002,8710S06,
 1004709-33072470,gpsku empty,IC-P-1995-000001,8710S95,
 1007900-25928567,gpsku empty,IC-P-2003-000001,8700S03,
 1007904-58884452,gpsku empty,IC-P-2006-000002,8710S06,
 1011196-64959876,gpsku empty,IC-P-2003-000003,8740S03,
 1017670-80871985,gpsku empty,IC-P-1995-000001,8710S95,
 1017672-88552989,gpsku empty,IC-P-2003-000003,8740S03,
 1038180-16768310,gpsku empty,IC-P-2012-000002,8710S12,
 1038174-35541212,gpsku empty,IC-P-2009-000019,8705S09,
 1004724-82127974,gpsku empty,IC-P-2006-000002,8710S06,
 1038193-76835744,gpsku empty,OH-P-2011-000004,8707SOH11,
 1038195-99532282,gpsku empty,CC-P-2009-000010,8709S09,
 1038228-52849744,gpsku empty,CC-P-2006-000010,8709S06,
1000081,gpsku empty,IC-P-2003-000005,8730S03,
1000084,gpsku empty,IC-P-2003-000013,8798S03,
1000082,gpsku empty,IC-P-2000-000001,8700S00,
1000083,gpsku empty,IC-P-2003-000001,8700S03,
 1004745-28926436,gpsku empty,IC-P-2003-000005,8730S03,
 1007921-69004072,gpsku empty,IC-P-2003-000016,8722S03,
 1017688-45199199,gpsku empty,IC-P-2006-000007,8760S06,
 1026082-41633571,gpsku empty,IC-P-2009-000001,8700S09,
 1038244-76334459,gpsku empty,IC-P-1995-000001,8710S95,
1000085,gpsku empty,IC-P-2000-000001,8700S00,
 1007937-39113445,gpsku empty,IC-P-2006-000002,8710S06,
 1017721-71215211,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017725-71215211,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017707-58912073,gpsku empty,IC-P-2009-000003,8740S09,
 1026134-37916718,gpsku empty,CC-P-2009-000001,870P09,
 1038302-96455357,gpsku empty,OH-P-2011-000004,8707SOH11,
 1038305-68882376,gpsku empty,IC-P-2009-000001,8700S09,
 1038339-45386445,gpsku empty,IC-P-2009-000016,8706S09,
 1011213-20760990,gpsku empty,NY-P-2007-000003,8710SNY07,
 1011212-71165047,gpsku empty,IC-P-2003-000016,8722S03,
 1017745-84727074,gpsku empty,IC-P-2009-000001,8700S09,
 1026191-67313480,gpsku empty,IC-P-2009-000019,8705S09,
 1026186-34157839,gpsku empty,IC-P-2006-000003,8740S06,
1000087,gpsku empty,IC-P-2000-000004,8720S00,
 1017756-60551280,gpsku empty,FL-P-2007-000011,8705SFL07,
1000089,gpsku empty,IC-P-2003-000001,8700S03,
1000088,gpsku empty,IC-P-2003-000003,8740S03,
1000090,gpsku empty,IC-P-2000-000001,8700S00,
 1011241-76234001,gpsku empty,OH-P-2005-000001,8700SOH07,
 1026270-87699058,gpsku empty,IC-P-2009-000019,8705S09,
 1026239-10541122,gpsku empty,IC-P-1998-000002,8780S98,
 1026246-16702562,gpsku empty,NY-P-2010-000009,8780SNY10,
 1038483-44569632,gpsku empty,IC-P-1996-000002,8700S96,
 1004794-51536131,gpsku empty,IC-P-2003-000002,8710S03,
 1011245-99629314,gpsku empty,IC-P-2006-000003,8740S06,
 1011250-76752304,gpsku empty,IC-P-1995-000001,8710S95,
 1017806-82605712,gpsku empty,IC-P-2009-000019,8705S09,
 1004804-28386841,gpsku empty,IC-P-2000-000009,8750S00,
 1007958-15183165,gpsku empty,IC-P-2003-000003,8740S03,
 1007962-29346615,gpsku empty,IC-P-2006-000019,8705S06,
 1011258-63292066,gpsku empty,NY-P-2007-000008,8780SNY07,
 1017813-65319896,gpsku empty,IC-P-2009-000002,8710S09,
 1038531-97097425,gpsku empty,IC-P-2012-000010,8750S12,
 1038497-91454435,gpsku empty,CC-P-2009-000010,8709S09,
 1001416-39587923,gpsku empty,IC-P-1999-000002,8740S99,
 1001425-68781186,gpsku empty,IC-P-1998-000004,8750S98,
 1004824-77938834,gpsku empty,IC-P-2003-000001,8700S03,
 1007976-25258410,gpsku empty,CA-P-2007-000001,8701SCA07,
 1007978-25258410,gpsku empty,CA-P-2007-000002,8700SCA07,
 1007979-25258410,gpsku empty,CA-P-2007-000009,8708SCA07,
 1007980-63403254,gpsku empty,CA-P-2007-000008,8705SCA07,
 1038556-67514470,gpsku empty,IC-P-2009-000006,8755S09,
 1038561-90332819,gpsku empty,IC-P-2009-000006,8755S09,
 1038565-28396319,gpsku empty,IC-P-2009-000001,8700S09,
 1038591-50042991,gpsku empty,IC-P-2006-000002,8710S06,
 1001434-24313268,gpsku empty,IC-P-2003-000001,8700S03,
 1004834-39635488,gpsku empty,IC-P-1996-000001,8730S96,
 1004844-39635488,gpsku empty,IC-P-2003-000017,8705S03,
 1004847-67580251,gpsku empty,IC-P-2003-000017,8705S03,
 1004832-28131099,gpsku empty,IC-P-2003-000001,8700S03,
 1004839-31439112,gpsku empty,IC-P-2006-000003,8740S06,
 1004846-75074932,gpsku empty,IC-P-2006-000019,8705S06,
 1007981-62826879,gpsku empty,IC-P-1996-000002,8700S96,
 1017830-58139363,gpsku empty,IC-P-1995-000002,8780S95,
 1026366-60599786,gpsku empty,CC-P-2009-000007,875P09,
 1038639-39337186,gpsku empty,IC-P-2012-000002,8710S12,
1000092,gpsku empty,IC-P-2003-000014,8780S03,
1000091,gpsku empty,IC-P-2003-000006,8755S03,
1000093,gpsku empty,IC-P-2003-000014,8780S03,
 1001444-98490582,gpsku empty,IC-P-2003-000001,8700S03,
 1017839-94063761,gpsku empty,IC-P-2009-000002,8710S09,
 1017842-42843308,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017843-42843308,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017840-10277298,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017841-10277298,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017851-54841514,gpsku empty,IC-P-2009-000004,8720S09,
 1026395-40175784,gpsku empty,CA-P-2010-000007,8700SCA10,
 1026400-22560433,gpsku empty,IC-P-2009-000002,8710S09,
 1038677-18533167,gpsku empty,IC-P-2009-000001,8700S09,
 1038670-26958578,gpsku empty,IC-P-2009-000019,8705S09,
 1004864-70188000,gpsku empty,IC-P-2006-000002,8710S06,
 1017878-27743822,gpsku empty,IC-P-2003-000016,8722S03,
 1017868-48960885,gpsku empty,IC-P-2009-000012,8790S09,
 1017873-33762450,gpsku empty,IC-P-2009-000002,8710S09,
 1017875-97407487,gpsku empty,IC-P-2009-000001,8700S09,
 1026418-76698332,gpsku empty,IC-P-2003-000002,8710S03,
 1008006-77872698,gpsku empty,CA-P-2007-000009,8708SCA07,
 1008015-89418654,gpsku empty,IC-P-2006-000019,8705S06,
 1011302-33874729,gpsku empty,IC-P-2003-000017,8705S03,
 1017899-37494304,gpsku empty,CC-P-2006-000001,870S06,
 1017894-60225826,gpsku empty,NC-P-2002-000011,8710SNC02,
 1017912-15991583,gpsku empty,IC-P-1996-000002,8700S96,
 1026473-51392623,gpsku empty,IC-P-1998-000004,8750S98,
1000094,gpsku empty,IC-P-2003-000017,8705S03,
 1004871-42614773,gpsku empty,IC-P-2003-000003,8740S03,
 1008028-77232431,gpsku empty,IC-P-1998-000004,8750S98,
 1008031-63244649,gpsku empty,IC-P-2006-000014,8780S06,
 1008045-57569775,gpsku empty,IC-P-2006-000001,8700S06,
 1008030-63244649,gpsku empty,IC-P-2006-000014,8780S06,
 1008026-53880640,gpsku empty,IC-P-2006-000001,8700S06,
 1011320-24929455,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017923-60649939,gpsku empty,IC-P-2009-000019,8705S09,
 1017931-22329647,gpsku empty,IC-P-2009-000001,8700S09,
 1017930-43721857,gpsku empty,CA-P-2008-000001,8713SCA08,
1000097,gpsku empty,IC-P-2003-000010,8750S03,
1000095,gpsku empty,IC-P-2003-000001,8700S03,
1000096,gpsku empty,IC-P-2000-000001,8700S00,
 1001481-39363715,gpsku empty,IC-P-2003-000001,8700S03,
 1004896-39989524,gpsku empty,IC-P-1999-000001,8700S99,
 1004894-39989524,gpsku empty,IC-P-1999-000002,8740S99,
 1004904-49356796,gpsku empty,IC-P-2003-000001,8700S03,
 1008059-94248365,gpsku empty,CA-P-2007-000009,8708SCA07,
 1017940-84598404,gpsku empty,IC-P-1998-000004,8750S98,
 1038859-73955271,gpsku empty,IC-P-2009-000003,8740S09,
1000099,gpsku empty,IC-P-2003-000002,8710S03,
1000098,gpsku empty,IC-P-2003-000001,8700S03,
 1001500-41561702,gpsku empty,IC-P-2003-000001,8700S03,
 1004912-50372579,gpsku empty,SS-P-1999-000001,8744S99,
 1017950-76911913,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017953-71215211,gpsku empty,FL-P-2007-000011,8705SFL07,
 1026568-13292635,gpsku empty,IC-P-2009-000019,8705S09,
 1026574-80728716,gpsku empty,CA-P-2010-000007,8700SCA10,
 1038918-20744432,gpsku empty,IC-P-2012-000016,8706S12,
1000100,gpsku empty,IC-P-2003-000001,8700S03,
 1001507-8073188,gpsku empty,IC-P-2003-000002,8710S03,
 1001511-92417804,gpsku empty,IC-P-2003-000001,8700S03,
 1001514-59546234,gpsku empty,FL-P-2004-000002,8710SFL04,
 1004914-68873775,gpsku empty,FL-P-2004-000005,8755SFL04,
 1011366-31528360,gpsku empty,IC-P-2006-000001,8700S06,
 1017964-15083308,gpsku empty,FL-P-2007-000011,8705SFL07,
 1017965-10277298,gpsku empty,FL-P-2007-000011,8705SFL07,
 1026625-87005700,gpsku empty,NY-P-2010-000009,8780SNY10,
 1026600-28282324,gpsku empty,IC-P-2006-000001,8700S06,
 1039016-97097425,gpsku empty,IC-P-2012-000014,8780S12,
1000102,gpsku empty,IC-P-2003-000003,8740S03,
1000101,gpsku empty,IC-P-2000-000003,8740S00,
1000103,gpsku empty,IC-P-2003-000001,8700S03,
 1001525-97814612,gpsku empty,IC-P-2003-000004,8720S03,
 1001526-97814612,gpsku empty,IC-P-2003-000009,8796S03,
 1001527-97814612,gpsku empty,IC-P-2003-000009,8796S03,
 1008079-11726375,gpsku empty,IC-P-2006-000010,8750S06,
 1011374-93438168,gpsku empty,IC-P-2003-000017,8705S03,
 1039085-97097425,gpsku empty,CC-P-2006-000001,870S06,
1000104,gpsku empty,IC-P-2003-000005,8730S03,
 1011392-14005967,gpsku empty,IC-P-2003-000001,8700S03,
 1011398-23949147,gpsku empty,CA-P-2007-000002,8700SCA07,
 1018021-19178101,gpsku empty,IC-P-2003-000016,8722S03,
 1026683-12129300,gpsku empty,IC-P-2006-000001,8700S06,
 1004930-59975521,gpsku empty,IC-P-2003-000001,8700S03,
 1011411-53769925,gpsku empty,CC-P-2006-000001,870S06,
 1011407-78088093,gpsku empty,FL-P-2007-000011,8705SFL07,
 1011410-27926291,gpsku empty,CA-P-2007-000008,8705SCA07,
 1018030-82338751,gpsku empty,IC-P-2009-000019,8705S09,
 1004942-76556890,gpsku empty,IC-P-2003-000014,8780S03,
 1004940-10337777,gpsku empty,IC-P-2006-000003,8740S06,
 1004943-26662587,gpsku empty,IC-P-2006-000014,8780S06,
 1004941-38438685,Cannot find IC-P-2002-000001,,,
 1039142-73999697,gpsku empty,IC-P-2009-000016,8706S09,
 1039153-54744988,gpsku empty,SC-P-2003-000001,8700SSC03,
1000106,gpsku empty,IC-P-2003-000003,8740S03,
 1001551-72767106,gpsku empty,IC-P-2003-000001,8700S03,
 1001552-72767106,gpsku empty,IC-P-2003-000001,8700S03,
 1001547-40281591,gpsku empty,IC-P-2003-000003,8740S03,
 1011429-38352523,gpsku empty,IC-P-2006-000016,8706S06,
 1039199-63071875,gpsku empty,IC-P-2009-000004,8720S09,
 1039195-63071875,gpsku empty,IC-P-2009-000001,8700S09,
1000107,gpsku empty,IC-P-2003-000005,8730S03,
 1001565-88881169,gpsku empty,IC-P-1996-000004,8750S96,
 1004969-17978783,gpsku empty,IC-P-2003-000001,8700S03,
 1004963-70456442,gpsku empty,IC-P-2003-000001,8700S03,
 1011435-49182662,gpsku empty,IC-P-2003-000016,8722S03,
 1018073-59833682,gpsku empty,IC-P-2009-000005,8730S09,
 1018074-59833682,gpsku empty,IC-P-2009-000014,8780S09,
 1026790-56664813,gpsku empty,CC-P-2009-000010,8709S09,
 1039255-70564846,gpsku empty,IC-P-2006-000001,8700S06,
 1039286-88880317,gpsku empty,CC-P-2009-000003,874S09,
 1001576-11478633,gpsku empty,NC-P-2002-000011,8710SNC02,
 1004973-83416344,gpsku empty,IC-P-2006-000002,8710S06,
 1004980-65749187,gpsku empty,IC-P-2006-000001,8700S06,
 1018082-24429822,gpsku empty,IC-P-2003-000016,8722S03,
 1018096-63301436,gpsku empty,IC-P-2009-000014,8780S09,
 1026818-63902283,gpsku empty,IC-P-2009-000003,8740S09,
 1039342-37867143,gpsku empty,IC-P-2009-000002,8710S09,
1000110,gpsku empty,IC-P-2003-000002,8710S03,
1000108,gpsku empty,IC-P-2003-000003,8740S03,
1000109,gpsku empty,IC-P-2003-000004,8720S03,
 1011456-71142236,gpsku empty,OH-P-2005-000003,8720SOH07,
 1018127-58701366,gpsku empty,IC-P-2003-000003,8740S03,
 1018105-39743204,gpsku empty,FL-P-2007-000011,8705SFL07,
 1018121-92990831,gpsku empty,IC-P-1995-000002,8780S95,
 1026902-55930846,gpsku empty,IC-P-2006-000001,8700S06,
 1026874-96327448,gpsku empty,IC-P-2009-000016,8706S09,
 1026889-99222326,gpsku empty,IC-P-2009-000004,8720S09,
 1026900-54027089,gpsku empty,IC-P-2009-000005,8730S09,
 1039391-66009652,gpsku empty,IC-P-2009-000003,8740S09,
1000112,gpsku empty,IC-P-2003-000003,8740S03,
1000111,gpsku empty,IC-P-2003-000002,8710S03,
 1008154-52607300,gpsku empty,IC-P-2003-000002,8710S03,
 1018152-99930075,gpsku empty,IC-P-2003-000016,8722S03,
 1018146-46312688,gpsku empty,FL-P-2007-000011,8705SFL07,
 1018153-56206417,gpsku empty,FL-P-2007-000011,8705SFL07,
 1026914-81849952,gpsku empty,IC-P-2006-000010,8750S06,
 1004987-5993759,gpsku empty,IC-P-1996-000002,8700S96,
 1008158-14005967,gpsku empty,IC-P-2003-000001,8700S03,
 1008160-14005967,gpsku empty,IC-P-2006-000001,8700S06,
 1011500-36597064,gpsku empty,NY-P-2007-000014,8706SCA07,
 1011492-31981303,gpsku empty,CC-P-2006-000011,870S061,
 1018157-26286077,gpsku empty,IC-P-2006-000019,8705S06,
 1026936-87487428,gpsku empty,IC-P-2009-000006,8755S09,
 1001608-54290207,gpsku empty,IC-P-2003-000001,8700S03,
 1005002-46402103,gpsku empty,IC-P-2006-000001,8700S06,
 1004999-73180844,gpsku empty,IC-P-2000-000009,8750S00,
 1005001-64369670,gpsku empty,IC-P-2006-000019,8705S06,
 1005003-67896101,gpsku empty,IC-P-2006-000019,8705S06,
 1008172-44958116,gpsku empty,IC-P-2006-000002,8710S06,
 1008173-26057695,gpsku empty,CA-P-2007-000008,8705SCA07,
 1008175-88801417,gpsku empty,IC-P-2006-000001,8700S06,
 1011512-68870779,gpsku empty,IC-P-1999-000001,8700S99,
 1018176-11914618,gpsku empty,NY-P-2007-000006,8730SNY07,
 1039462-37291516,gpsku empty,IC-P-2012-000019,8705S12,
1000113,gpsku empty,IC-P-2000-000013,8780S00,
1000114,gpsku empty,IC-P-2003-000014,8780S03,
 1005014-14617012,Cannot find IC-P-2002-000001,,,
 1008183-99394504,gpsku empty,IC-P-1992-000001,8722S92,
 1008187-64197114,gpsku empty,IC-P-2006-000003,8740S06,
 1008188-27700344,gpsku empty,IC-P-2006-000019,8705S06,
 1001630-10201039,gpsku empty,IC-P-2003-000016,8722S03,
 1008197-73131645,gpsku empty,IC-P-2006-000001,8700S06,
 1018215-50700247,gpsku empty,IC-P-2009-000016,8706S09,
 1018218-17438722,gpsku empty,IC-P-2009-000019,8705S09,
 1018211-22693644,gpsku empty,IC-P-2006-000001,8700S06,
 1018209-72932323,gpsku empty,IC-P-2006-000003,8740S06,
 1018188-89037495,gpsku empty,IC-P-2006-000017,8707S06,
 1018205-71215211,gpsku empty,FL-P-2007-000011,8705SFL07,
 1018207-71215211,gpsku empty,FL-P-2007-000011,8705SFL07,
 1018200-71215211,gpsku empty,FL-P-2007-000011,8705SFL07,
 1018186-67187255,gpsku empty,IC-P-2009-000002,8710S09,
 1027019-19412563,gpsku empty,IC-P-2009-000003,8740S09,
 1027001-73968591,gpsku empty,IC-P-2009-000001,8700S09,
 1039564-36234625,gpsku empty,IC-P-2006-000019,8705S06,
 1039581-12905711,gpsku empty,IC-P-2012-000019,8705S12,
 1039582-60092569,gpsku empty,CA-P-2010-000007,8700SCA10,
1000115,gpsku empty,IC-P-2000-000001,8700S00,
 1005038-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005037-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005027-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005036-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005039-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005031-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005047-46110908,gpsku empty,IC-P-2003-000001,8700S03,
 1005040-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005032-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005034-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005028-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005035-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1005033-39403392,gpsku empty,OH-P-2005-000004,8705SOH07,
 1039593-85890621,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039592-85890621,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039613-45098147,gpsku empty,IC-P-2012-000002,8710S12,
 1039621-33663094,gpsku empty,YC-P-2008-000001,8700SNYC08,
 1039637-39851142,gpsku empty,IC-P-1999-000001,8700S99,
 1001681-16368310,gpsku empty,IC-P-1998-000004,8750S98,
 1018266-89794639,gpsku empty,IC-P-2009-000019,8705S09,
 1027120-28634924,gpsku empty,IC-P-2006-000019,8705S06,
 1039680-69331553,gpsku empty,IC-P-2012-000010,8750S12,
 1039692-46891545,gpsku empty,IC-P-2006-000001,8700S06,
1000117,gpsku empty,IC-P-2003-000001,8700S03,
1000116,gpsku empty,MI-P-2003-000007,8740SMI03,
 1001686-25745640,gpsku empty,IC-P-1995-000001,8710S95,
 1008214-80936365,gpsku empty,CA-P-2007-000009,8708SCA07,
 1018301-75376198,gpsku empty,IC-P-2009-000006,8755S09,
 1018296-84853195,gpsku empty,IC-P-2009-000003,8740S09,
 1018295-22489036,gpsku empty,IC-P-1996-000002,8700S96,
 1027146-74753666,gpsku empty,YC-P-2008-000001,8700SNYC08,
 1027152-53138126,gpsku empty,IC-P-2009-000019,8705S09,
 1027142-27133287,gpsku empty,NY-P-2007-000003,8710SNY07,
 1027139-99226013,gpsku empty,IC-P-2009-000019,8705S09,
 1005062-98093088,gpsku empty,IC-P-1995-000001,8710S95,
 1008218-66332684,gpsku empty,IC-P-2003-000001,8700S03,
 1018307-89097694,gpsku empty,IC-P-2009-000001,8700S09,
 1027187-11639818,gpsku empty,IC-P-2009-000001,8700S09,
1000118,gpsku empty,IC-P-2000-000004,8720S00,
 1001716-26655547,gpsku empty,MI-P-2003-000003,8730SMI03,
 1005071-13294975,gpsku empty,IC-P-2003-000016,8722S03,
 1005069-98093088,gpsku empty,IC-P-2003-000001,8700S03,
 1011603-68962230,gpsku empty,CC-P-2006-000001,870S06,
 1011607-15599441,gpsku empty,IC-P-1996-000002,8700S96,
 1039755-97097425,gpsku empty,IC-P-2009-000019,8705S09,
1000119,gpsku empty,IC-P-2000-000001,8700S00,
 1001724-79980758,gpsku empty,IC-P-1995-000001,8710S95,
 1005078-41621467,gpsku empty,IC-P-2006-000003,8740S06,
 1008243-70079878,gpsku empty,FL-P-2004-000011,8705SFL04,
 1008245-47509956,gpsku empty,NY-P-2007-000002,8700SNY07,
 1027195-54076882,gpsku empty,IC-P-2006-000001,8700S06,
 1027222-61828848,gpsku empty,CC-P-2009-000010,8709S09,
 1027212-23373762,gpsku empty,IC-P-1995-000001,8710S95,
 1039812-99179728,gpsku empty,IC-P-2009-000001,8700S09,
 1039815-65583910,gpsku empty,IC-P-2009-000019,8705S09,
 1039802-77078920,gpsku empty,IC-P-1995-000001,8710S95,
 1008249-38352523,gpsku empty,IC-P-2006-000016,8706S06,
 1039882-25124420,gpsku empty,IC-P-2012-000001,8700S12,
 1039889-95489097,gpsku empty,IC-P-2012-000017,8707S12,
1000121,gpsku empty,IC-P-2003-000001,8700S03,
1000120,gpsku empty,IC-P-2003-000013,8798S03,
 1005088-18886988,gpsku empty,IC-P-2006-000019,8705S06,
 1018370-18758154,gpsku empty,CC-P-2006-000012,870S062,
 1027251-15611020,gpsku empty,IC-P-2003-000001,8700S03,
 1039945-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040016-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040008-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039937-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039978-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039942-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039947-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039981-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040001-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039985-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039997-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039952-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039949-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039983-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039951-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040002-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040021-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040026-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039940-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039939-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040023-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040007-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040004-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039996-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040020-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040012-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039934-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039971-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039989-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040013-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039994-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039979-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040024-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039976-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040014-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039993-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040000-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040003-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039941-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039987-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039946-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039988-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040011-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039973-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039969-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039970-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040022-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039950-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039975-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039935-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039914-80981634,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039998-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040018-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1040010-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039972-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
 1039948-76073648,gpsku empty,OH-P-2011-000004,8707SOH11,
